2025-10-07 14:09:49.436255: {'video_uuid': '1', 'type': 'stop'}
2025-10-07 14:09:49.441994: {'video_uuid': '1', 'type': 'play'}
2025-10-07 14:09:49.457309: {'video_uuid': '1', 'type': 'as_view'}
2025-10-07 14:09:49.472438: {'video_uuid': '1', 'type': 'stop'}
2025-10-07 14:09:49.479125: {'video_uuid': '1', 'type': 'stop'}
2025-10-07 14:09:49.480766: {'video_uuid': '1', 'type': 'stop'}
2025-10-07 14:09:49.482799: {'video_uuid': '1', 'type': 'as_view'}
2025-10-07 14:09:49.486433: {'video_uuid': '1', 'type': 'play'}
2025-10-07 14:09:49.488781: {'video_uuid': '1', 'type': 'stop'}
2025-10-07 14:09:49.560770: {'video_uuid': '1', 'type': 'pause'}
2025-10-07 14:09:55.732340: {'video_uuid': '1', 'type': 'stop'}
